1-OB-OP.1	julia	2020-09-07 11:50:33	neutral	Esko Vatanen 
1-OB-OP.2	julia	2020-09-07 11:50:33	neutral	Keskusareena vie 1,5 miljoonaa euroa vuodessa liikunnasta bisnekselle 
1-OB-OP.3	julia	2020-09-07 11:50:33	neutral	Tampereen Keskusareena hankkeessa on mukana myös muutamia muita kuin jääkiekon edustajia.
1-OB-OP.4	julia	2020-09-07 11:50:33	neutral	Heille on Areenahankkeen esittelyn mukaan luvattu siirtää Hakametsän hallit muiden lajien käyttöön.
1-OB-OP.5	julia	2020-09-07 11:50:33	neutral	Hankkeen mukaan Hakametsän kehittäminen ja ylläpito tapahtuisi kuitenkin sinne harrastuksiaan siirtävien seurojen rahoilla.
1-OB-OP.6	julia	2020-09-07 11:50:33	neutral	Kaupungin nykyinen panostus siirtyisi Hakametsästä uudelle Areenalle.
1-OB-OP.7	julia	2020-09-07 11:50:33	neutral	Tämä merkitsee noin 1,5 miljoonan euron kaupungin tuen siirtymistä pois muusta urheilusta bisnekselle perustuvan hallin ylläpitämiseen vuodessa.
3-AV-OP.1	julia	2020-09-07 11:50:33	neutral	Raha-asiat 
3-AV-OP.2	julia	2020-09-07 11:50:33	negative	Oman talouden hoitamisen hankaluus yllättää monet nuoret kun muutto omaan ensimmäiseen asuntoon on ajankohtaista.
3-AV-OP.3	julia	2020-09-07 11:50:33	negative	Miten saada kaikki rahat riittämään? 
3-AV-OP.4	julia	2020-09-07 11:51:08	other	Mikä neuvoksi yllättävien menojen ilmetessä kun vanhempien lompakko ei enää olekaan sinulle se viimeinen ja käytetyin oljenkorsi? 
3-AV-OP.5	julia	2020-09-07 11:51:08	neutral	Vanha sanonta raha-asioissa pätee vielä tänäkin päivänä.
3-AV-OP.6	julia	2020-09-07 11:51:08	other	" Oleellisinta eivät ole niinkään ne suuret tulot vaan ne pienet menot." 
3-AV-OP.7	julia	2020-09-07 11:51:08	neutral	Kuluttajana sinun itse täytyy suunnitella, millä perusteella rahaa käytät ja mihin.
3-AV-OP.8	julia	2020-09-07 11:51:08	positive	Järkevällä suunnittelulla saat vähäisetkin rahat riittämään paremmin välttämättömiin hankintoihin.
3-AV-OP.9	julia	2020-09-07 11:51:08	neutral	Yllättäviin menoihin kannattaa varautua jo etukäteen.
3-AV-OP.10	julia	2020-09-07 11:51:08	neutral	Asumismenot ottavat suurimman osan tuloista, asumiskuluihin kuuluvat vuokran tai vastikkeen lisäksi myös muita kuluja( vesi, sähkö jne.).
3-AV-OP.11	julia	2020-09-07 11:51:08	neutral	Pitämällä kirjaa menoistasi esim. parin kuukauden ajan pystyt paremmin arvioimaan sen, mihin kaikkeen rahasi oikeasti kuluvatkaan.
3-AV-OP.12	julia	2020-09-07 11:51:08	neutral	Oman budjetin seurantaan löydät vinkkejä marttaliiton taulukoista.
4-RV-OP.1	julia	2020-09-07 11:51:08	positive	Asiat käytiin läpi perusteellisesti. 
4-RV-OP.2	julia	2020-09-07 11:54:11	positive	Pienet kevennykset ja käytännön esimerkit pitivät mielenkiintoa yllä.
4-RV-OP.3	julia	2020-09-07 11:54:11	positive	Koskaan ei ole fysiikkaa näin hyvin oppinut.
4-RV-OP.4	julia	2020-09-07 11:54:11	positive	Esitti asiat selkeästi ja antoi hyviä käytännön esimerkkejä.
4-RV-OP.5	julia	2020-09-07 11:54:11	positive	Hauska opettaja! 
4-RV-OP.6	julia	2020-09-07 11:54:11	positive	Jaksoi aamulla tsempata, kun opetus oli hauskaa eikä vaan luettu teoriaa.
